Bahan Makan,VIt. A,Vit. B,Vit. C,Vit. D,Vit. E,Vit. K,Protein (g),Mineral (%),Energi (Kal),Lemak  (g),Kalsium (mg),Zat Besi (gr),Serat (g),Karbohidrad (gr),Fosfor (mg),Magnesium (mg),Natrium (mg),Kalium (mg)
Nasi,0,2.75,0,0,0.04,0,3,56.7,180,0.3,25,0.4,0.2,2.6,27,24.2,1,38
Nasi Tim,0,1.5,0,0,0.04,0,2.4,70,120,0.4,10,0.4,0.5,2.4,7,,0,23.9
Bubur,0,0.696,0,0,0.02,0.0001,11,88.7,50,1,87,3.74,9,1.1,20,56,486,164
Jagung,0.9,2.79,6.8,0,0.07,0.0003,3.8,63.7,154,3.5,7,0.5,0.7,3.2,171,47,5,56.4
Kentang,24,1.633,11.4,0,0,0.002,2.1,83.4,62,0.2,63,3.2,0.5,2,58,21,7,396
Singkong,13.000,1.184,20.6,0,0.19,0.0019,1.2,61.5,153,0.4,56,0.3,1.3,1.4,22,43,2,345.3
Ubi,70.9,1.705,2.4,0,0.26,0.0018,1.9,52.7,186,0.2,37,0.6,3.4,1.5,51,37,1,61.9
Mie,0.6,2.81,0,0.0003,0.37,0.0005,4.5,67.73,138,2.1,12,1.5,1.2,10.6,12,21.39,63,12
Roti,0,1.755,0,0,0.19,0.0049,8,40,248,1.2,10,4.9,9.1,8,95,7.28,530,91
Sagu,0,0,0,0,0.26,0,0.42,12,354,0.05,16,1.5,0.2,1,20,350,7,16
Tempe,2.7,3.354,0,0,0.42,0.0035,20,59.65,192,11,155,2.7,0,18.5,350,60,20,566.2
Tahu,0.6,0.19,0,0,0.01,0.0024,10.9,82.2,80,4.7,223,3.4,0.1,8,183,60,2,50.6
Susu Kedelai,2.7,0.83,2,0.0011,0.11,0.003,3.5,87,41,2.5,50,0.7,0.2,3.3,45,25,128,287.9
Daging ayam,25,10.62,0,0.05,0.27,0.0008,18.2,55.9,298,25,14,1.5,0,25.8,200,23,109,385.9
Udang,0.63,4.11,0,0.125,2,0.0003,21,75,91,0.2,136,8,0,24,170,33.2,178,222.4
Ikan Mas,7.65,2.75,0,1.5,0.5,0.0001,16,80,86,2,20,2,0,17.7,150,29,65,276.7
Sosis (sapi) ,0,5.18,0,0.014,0.33,0.0028,14.5,37.6,448,42.3,28,1.1,0,11,61,14,765,284.5
Ikan Mujair,18,0.15,0,3.75,0.4,0.0014,18.7,79.7,89,1,96,1.5,0,17.7,209,27,51,265.8
Telur,28,2.28,0,2.175,0,0.0004,13,76.15,143,9.5,56,1.8,0,12.6,260,0,142,118.5
Hati ayam,3323.4,9.13,0,0,0.7,0,27.4,53.4,261,16.1,118,15.8,0,16.9,373,7,1068,22.9
Belut,1129,8.04,0,23.3,4,0,14.6,81.5,70,0.8,49,1.5,0,16.9,155,0,55,169
Ikan Teri,13,2.14,0,1.725,0.6,0.0001,10.3,80,74,1.4,972,3.9,0,22,253,69,554,126.1
Daging Bebek,24,4.68,0,0.75,0.7,0.0028,16,54.3,321,28.6,15,1.8,0,19,188,20,54,199
pepaya ,1094,0.5,78,0,0.3,0.0026,0.5,86.7,46,0.1,23,1.7,1.6,0.5,12,10,4,221
apel,3,0.17,5,0,0.2,0.0022,0.3,84.1,58,0.4,6,0.3,2.6,0.3,10,9,2,130
Pisang,64,0.26,9,0,0.1,0.0005,1,72.9,108,0.8,20,0.2,1.9,1.1,30,29,10,0
Markisa,64,2.19,10,0,0.02,0.0007,3.5,64.7,144,1.2,27,1.4,11.4,2.4,203,29,37,453.8
Belimbing,1,0.03,35,0,0.15,0,0.4,90,36,0.4,4,1.1,3.2,0.9,12,10,4,130
Sirsak,2,0.85,20,0,0.08,0.0004,1,81.7,65,0.3,14,0.6,3.2,1,27,21,2,298.9
Jeruk,11,0.31,49,0,0.15,0,0.9,87.2,45,0.2,33,0.4,1.4,0.9,23,10,4,472.1
Mangga,38,0.34,12,0,0.9,0.0042,0.7,86.6,52,0,20,1,1.6,0.8,16,9,3,140
